bostoncollege,Boston College
ouachitabaptist,Ouachita Baptist
southeasternoklahomastate,Southeastern Oklahoma
southernarkansas,Southern Arkansas
southernnazarene,Southern Nazarene
southwesternoklahomastate,Southwestern Oklahoma
ashland,Ashland
davenport,Davenport
ferrisstate,Ferris State
findlay,Findlay
grandvalleystate,Grand Valley State
hillsdale,Hillsdale
lakeerie,Lake Erie
michigantech,Michigan Tech
northernmichigan,Northern Michigan
northwood,Northwood (MI)
ohiodominican,Ohio Dominican
saginawvalleystate,Saginaw Valley State
tiffin,Tiffin
walsh,Walsh
waynestatemi,Wayne State (MI)
indianapolis,Indianapolis
lincolnmo,Lincoln (MO)
mckendree,McKendree
missourisnt,Missouri S&T
quincy,Quincy
southwestbaptist,Southwest Baptist
stjosephs,St. Joseph's (IN)
trumanstate,Truman State
williamjewell,William Jewell
azusapacific,Azusa Pacific
centralwashington,Central Washington
humboldtstate,Humboldt State
simonfraser,Simon Fraser
westernoregon,Western Oregon
deltastate,Delta State
floridatech,Florida Tech
mississippicollege,Mississippi College
northalabama,North Alabama
northgreenville,North Greenville
shorter,Shorter
valdostastate,Valdosta State
westalabama,West Alabama
uwf,West Florida
westgeorgia,West Georgia
angelostate,Angelo State
easternnewmexico,Eastern New Mexico
midwesternstate,Midwestern State
oklahomapanhandle,Oklahoma Panhandle
tarletonstate,Tarleton State
texasamcommerce,Texas A&M-Commerce
texasamkingsville,Texas A&M-Kingsville
utpb,Texas-Permian Basin
westtexasam,West Texas A&M
westernnewmexico,Western New Mexico
charleston,Charleston (WV)
concord,Concord
fairmontstate,Fairmont State
glenvillestate,Glenville State
notredameoh,Notre Dame (OH)
shepherd,Shepherd
urbana,Urbana
virginiawise,Virginia-Wise
westliberty,West Liberty
westvirginiastate,West Virginia State
westvirginiawesleyan,West Virginia Wesleyan
centralmissouri,Central Missouri
centraloklahoma,Central Oklahoma
emporiastate,Emporia State
forthaysstate,Fort Hays State
lindenwood,Lindenwood
missourisouthern,Missouri Southern
missouriwestern,Missouri Western
nebraskakearney,Nebraska-Kearney
northeasternstate,Northeastern State
northwestmissouristate,Northwest Missouri
pittsburgstate,Pittsburg State
washburn,Washburn
americaninternational,American International
assumption,Assumption
bentley,Bentley
liupost,Long Island-Post
merrimack,Merrimack
newhaven,New Haven
pace,Pace
southernconnecticutstate,Southern Connecticut
stanselm,St. Anselm
stonehill,Stonehill
augustanasd,Augustana (SD)
bemidjistate,Bemidji State
concordiastpaul,Concordia (MN-St.Paul)
mary,Mary
minnesotacrookston,Minnesota-Crookston
minnesotaduluth,Minnesota-Duluth
minotstate,Minot State
mankatostate,MSU-Mankato
minnesotastatemoorhead,MSU-Moorhead
northernstate,Northern State
siouxfalls,Sioux Falls
southwestminnesotastate,Southwest Minnesota
stcloudstate,St. Cloud State
upperiowa,Upper Iowa
waynestate,Wayne State (NE)
winonastate,Winona State
bloomsburg,Bloomsburg
californiapa,California (PA)
cheyney,Cheyney
clarion,Clarion
eaststroudsburg,East Stroudsburg
edinboro,Edinboro
gannon,Gannon
indianapa,Indiana (PA)
kutztown,Kutztown
lockhaven,Lock Haven
mercyhurst,Mercyhurst
millersville,Millersville
setonhill,Seton Hill
shippensburg,Shippensburg
slipperyrock,Slippery Rock
westchester,West Chester
adamsstate,Adams State
blackhillsstate,Black Hills State
chadronstate,Chadron State
coloradomesa,Colorado Mesa
coloradomines,Colorado Mines
csupueblo,CSU-Pueblo
dixiestate,Dixie State
fortlewis,Fort Lewis
newmexicohighlands,New Mexico Highlands
southdakotamines,South Dakota Mines
westernstate,Western State Colorado
albanystate,Albany State
benedict,Benedict
centralstate,Central State
clarkatlanta,Clark Atlanta
